# Q(1/A)  I_MAP  dI_MAP
2.966516388291862150e-02 6.313430786132812500e+00 1.109161786289115936e-01
3.018703878980457528e-02 5.953783035278320312e+00 1.074928742641954177e-01
3.071809461406257297e-02 5.615310668945312500e+00 1.043232059458878286e-01
3.125849286804486399e-02 5.296861648559570312e+00 1.014121483261497675e-01
3.180839790545809953e-02 4.997310638427734375e+00 9.872462465703212009e-02
3.236797697134893848e-02 4.715501785278320312e+00 9.625954320587193358e-02
3.293740025296903323e-02 4.450454711914062500e+00 9.395323024066948303e-02
3.351684093153478594e-02 4.201120376586914062e+00 9.190070590639524972e-02
3.410647523489785532e-02 3.966632843017578125e+00 9.001342673283525830e-02
3.470648249114191564e-02 3.745986938476562500e+00 8.836676582705951799e-02
3.531704518312262647e-02 3.538314819335937500e+00 8.688662663880947212e-02
3.593834900396690457e-02 3.342853546142578125e+00 8.549245557905972570e-02
3.657058291354862295e-02 3.158723831176757812e+00 8.441477650380589670e-02
3.721393919595779309e-02 2.985273361206054688e+00 8.320862657867497680e-02
3.786861351798072317e-02 2.821729660034179688e+00 8.230979494416201803e-02
3.853480498860920034e-02 2.667387962341308594e+00 8.135416249866612992e-02
3.921271621959614151e-02 2.521705627441406250e+00 8.043461047646094375e-02
3.990255338707696803e-02 2.383986473083496094e+00 7.969611626212173838e-02
4.060452629427480087e-02 2.253763198852539062e+00 7.890238233095372977e-02
4.131884843530887058e-02 2.130492210388183594e+00 7.836876034272999281e-02
4.204573706012539741e-02 2.013675689697265625e+00 7.778245215523389711e-02
4.278541324057075906e-02 1.903014659881591797e+00 7.741375461955631032e-02
4.353810193762720077e-02 1.797969818115234375e+00 7.709279045308808920e-02
4.430403206983096753e-02 1.698259353637695312e+00 7.699376306416806648e-02
4.508343658289448025e-02 1.603626251220703125e+00 7.696898630952356268e-02
4.587655252055307387e-02 1.513701677322387695e+00 7.709279045308808920e-02
4.668362109665818993e-02 1.428301639854907990e+00 7.743838906874613015e-02
4.750488776853880463e-02 1.347218632698059082e+00 7.763518325918668250e-02
4.834060231165338006e-02 1.270186901092529297e+00 7.797837803780129085e-02
4.919101889555539675e-02 1.197172164916992188e+00 7.839309468902139200e-02
5.005639616119474111e-02 1.127941131591796875e+00 7.863602398123982484e-02
5.093699729957953948e-02 1.062404155731201172e+00 7.897486960607706663e-02
5.183309013182155894e-02 1.000469207763671875e+00 7.907141593748891195e-02
5.274494719058978737e-02 9.419555664062500000e-01 7.911964492394177317e-02
5.367284580299702679e-02 8.868360519409179688e-01 7.899901725061204971e-02
5.461706817494454969e-02 8.349943161010742188e-01 7.870875656097611750e-02
5.557790147695085975e-02 7.863273620605468750e-01 7.836876034272999281e-02
5.655563793148976615e-02 7.407207489013671875e-01 7.795391423232463091e-02
5.755057490186554076e-02 6.980800628662109375e-01 7.741375461955631032e-02
5.856301498265126942e-02 6.583118438720703125e-01 7.679532520053711231e-02
5.959326609171829159e-02 6.212482452392578125e-01 7.602148615636157569e-02
6.064164156388458793e-02 5.868167877197265625e-01 7.541693193870242784e-02
6.170846024621064185e-02 5.548763275146484375e-01 7.478199109014314894e-02
6.279404659497206387e-02 5.251960754394531250e-01 7.411588266019639160e-02
6.389873077433749771e-02 4.977607727050781250e-01 7.359938938053427193e-02
6.502284875678321363e-02 4.723243713378906250e-01 7.318357029373122324e-02
6.616674242527378902e-02 4.487037658691406250e-01 7.268669557003279436e-02
6.733075967724047595e-02 4.268016815185546875e-01 7.237112231894103631e-02
6.851525453038885549e-02 4.064483642578125000e-01 7.210708961708879594e-02
6.972058723036766992e-02 3.874530792236328125e-01 7.189516530978891373e-02
7.094712436033218106e-02 3.696842193603515625e-01 7.178896855269181754e-02
7.219523895243440403e-02 3.529510498046875000e-01 7.170921777611648229e-02
7.346531060127520218e-02 3.371944427490234375e-01 7.146943149817182317e-02
7.475772557935203566e-02 3.222408294677734375e-01 7.146943149817182317e-02
7.607287695453775200e-02 3.079776763916015625e-01 7.138932375975416689e-02
7.741116470962598750e-02 2.943210601806640625e-01 7.125561073029179626e-02
7.877299586397969178e-02 2.812271118164062500e-01 7.122883800316590075e-02
8.015878459731998196e-02 2.685623168945312500e-01 7.109482313750506433e-02
8.156895237569201929e-02 2.563514709472656250e-01 7.106798983851661533e-02
8.300392807964761255e-02 2.444915771484375000e-01 7.082603267370603251e-02
8.446414813468249017e-02 2.330436706542968750e-01 7.074519639169857266e-02
8.595005664396837552e-02 2.219314575195312500e-01 7.069125418302288355e-02
8.746210552341991684e-02 2.112007141113281250e-01 7.069125418302288355e-02
8.900075463913788287e-02 2.008705139160156250e-01 7.058324609215879675e-02
9.056647194727061867e-02 1.909866333007812500e-01 7.063727078134814097e-02
9.215973363633502002e-02 1.815299987792968750e-01 7.058324609215879675e-02
9.378102427204225433e-02 1.725463867187500000e-01 7.069125418302288355e-02
9.543083694467079103e-02 1.640968322753906250e-01 7.063727078134814097e-02
9.710967341903206651e-02 1.561813354492187500e-01 7.066426763720914939e-02
9.881804428707449683e-02 1.488265991210937500e-01 7.069125418302288355e-02
1.005564691231719127e-01 1.420631408691406250e-01 7.074519639169857266e-02
1.023254766421444611e-01 1.359024047851562500e-01 7.066426763720914939e-02
1.041256048600582851e-01 1.303405761718750000e-01 7.063727078134814097e-02
1.059574012578552299e-01 1.253433227539062500e-01 7.052918002057730062e-02
1.078214229478604846e-01 1.209030151367187500e-01 7.066426763720914939e-02
